"[90, 38, 143]"
"[90, 41, 143]"
"[90, 43, 142]"
"[90, 46, 142]"
"[91, 25, 146]"
"[91, 29, 145]"
"[90, 32, 144]"
"[92, 66, 139]
"[90, 85, 139]"
"[14, 41, 34]"
"[92, 73, 139]"
"[92, 74, 139]"
"[91, 75, 139]"
"[91, 77, 139]"
"[91, 77, 139]"
"[91, 78, 139]"
"[91, 79, 139]"
"[91, 80, 139]"
"[91, 81, 139]"
"[91, 82, 139]"
"[91, 83, 139]"
"[91, 83, 139]"
"[90, 85, 139]"
"[90, 85, 138]"
"[91, 10, 138]"
"[93, 10, 139]"
"[93, 10, 139]"
"[93, 10, 140]"
"[93, 10, 140]"
"[93, 10, 139]"
"[90, 10, 139]"
"[90, 10, 138]"
"[90, 10, 138]"
"[89, 10, 138]"
"[90, 10, 138]"
"[89, 10, 139]"
"[90, 10, 138]"
"[90, 91, 138]"
"[89, 92, 139]"
"[89, 92, 138]"
"[90, 88, 138]"
"[27, 44, 61]"
"[25, 48, 60]"
"[27, 49, 64]"
"[51, 141, 89]"
"[54, 170, 94]"
"[60, 183, 101]"
"[55, 188, 98]"
"[53, 186, 98]"
"[54, 178, 100]"
"[59, 144, 105]"
"[45, 145, 93]"
"[50, 151, 99]"
"[51, 170, 101]"
"[54, 178, 105]"
"[55, 189, 107]"
"[57, 193, 109]"
"[55, 199, 109]"
"[54, 109, 110]"
"[52, 136, 110]"
"[54, 154, 110]"
"[55, 168, 112]"
"[57, 174, 114]"
"[90, 38, 143]"
"[90, 41, 143]"
"[90, 43, 142]"
"[90, 46, 142]"
"[91, 25, 146]"
"[91, 29, 145]"
"[90, 32, 144]"
"[90, 35, 143]"
"[90, 38, 143]"
"[90, 41, 143]"
"[90, 43, 142]"
"[90, 46, 142]"
"[93, 48, 140]"
"[93, 51, 140]"
"[93, 53, 139]"
"[93, 55, 139]"
"[93, 58, 140]"
"[93, 60, 140]"
"[93, 61, 139]"
"[92, 63, 139]"
"[92, 64, 139]"
"[92, 66, 139]"
"[92, 68, 139]"
"[92, 69, 139]"
"[92, 70, 139]"
"[92, 72, 139]"
"[92, 73, 139]"
"[92, 74, 139]"
"[91, 75, 139]"
"[91, 77, 139]"
"[91, 77, 139]"
"[91, 78, 139]"
"[91, 79, 139]"
"[91, 80, 139]"
"[91, 81, 139]"
"[91, 82, 139]"
"[91, 83, 139]"
"[91, 83, 139]"
"[90, 85, 139]"
"[90, 85, 138]"
"[91, 86, 138]"
"[90, 86, 139]"
"[90, 87, 139]"
"[90, 99, 140]"
"[89, 99, 140]"
"[89, 100, 140]"
"[89, 100, 140]"
"[90, 100, 140]"
"[90, 101, 140]"
"[90, 101, 140]"
"[90, 101, 141]"
"[90, 101, 141]"
"[90, 101, 141]"
"[90, 102, 141]"
"[90, 102, 141]"
"[90, 102, 141]"
"[90, 102, 141]"
"[79, 145, 88]"
"[70, 133, 81]"
"[70, 132, 85]"
"[75, 136, 93]"
"[76, 135, 95]"
"[76, 134, 98]"
"[76, 133, 100]"
"[76, 132, 102]"
"[14, 41, 34]"
"[14, 41, 34]"
"[14, 41, 34]"
"[18, 43, 41]"
"[14, 41, 34]"
"[14, 41, 34]"
"[14, 41, 34]"
"[14, 41, 34]"
"[14, 41, 34]"
"[14, 41, 34]"
"[14, 41, 34]"
"[14, 41, 34]"
"[14, 41, 34]"
"[14, 41, 34]"
"[14, 41, 34]"
"[14, 41, 34]"
"[14, 41, 34]"
"[14, 41, 34]"
"[14, 41, 34]"
"[14, 41, 34]"
"[14, 41, 34]"
"[14, 41, 34]"
"[14, 41, 34]"
"[22, 46, 47]"
"[25, 49, 54]"
"[29, 52, 60]"
"[27, 44, 61]"
"[25, 48, 60]"
"[27, 49, 64]"
"[27, 49, 64]"
"[27, 49, 64]"
"[27, 49, 64]"
"[27, 49, 64]"
"[27, 49, 64]"
"[27, 49, 64]"
"[51, 141, 89]"
"[54, 170, 94]"
"[60, 183, 101]"
"[55, 188, 98]"
"[53, 186, 98]"
"[54, 178, 100]"
"[59, 144, 105]"
"[45, 145, 93]"
"[50, 151, 99]"
"[51, 170, 101]"
"[54, 178, 105]"
"[55, 189, 107]"
"[57, 193, 109]"
"[55, 199, 109]"
"[54, 109, 110]"
"[52, 136, 110]"
"[54, 154, 110]"
"[55, 168, 112]"
"[57, 174, 114]"
